Rank,Team,Medal,Count
1,China,Gold,201
1,China,Silver,111
1,China,Bronze,71
2,Japan,Gold,52
2,Japan,Silver,67
2,Japan,Bronze,69
3,South Korea,Gold,42
3,South Korea,Silver,59
3,South Korea,Bronze,89
4,India,Gold,28
4,India,Silver,38
4,India,Bronze,41
5,Uzbekistan,Gold,22
5,Uzbekistan,Silver,18
5,Uzbekistan,Bronze,31
6,Chinese Taipei,Gold,19
6,Chinese Taipei,Silver,20
6,Chinese Taipei,Bronze,28
7,Iran,Gold,13
7,Iran,Silver,21
7,Iran,Bronze,20
8,Thailand,Gold,12
8,Thailand,Silver,14
8,Thailand,Bronze,32
9,Bahrain,Gold,12
9,Bahrain,Silver,3
9,Bahrain,Bronze,5
10,North Korea,Gold,11
10,North Korea,Silver,18
10,North Korea,Bronze,10
11,Kazakhstan,Gold,10
11,Kazakhstan,Silver,22
11,Kazakhstan,Bronze,48
12,Hong Kong,Gold,8
12,Hong Kong,Silver,16
12,Hong Kong,Bronze,29
13,Indonesia,Gold,7
13,Indonesia,Silver,11
13,Indonesia,Bronze,18
14,Malaysia,Gold,6
14,Malaysia,Silver,8
14,Malaysia,Bronze,18
15,Qatar,Gold,5
15,Qatar,Silver,6
15,Qatar,Bronze,3
16,United Arab Emirates,Gold,5
16,United Arab Emirates,Silver,5
16,United Arab Emirates,Bronze,10
17,Philippines,Gold,4
17,Philippines,Silver,2
17,Philippines,Bronze,12
18,Kyrgyzstan,Gold,4
18,Kyrgyzstan,Silver,2
18,Kyrgyzstan,Bronze,9
19,Saudi Arabia,Gold,4
19,Saudi Arabia,Silver,2
19,Saudi Arabia,Bronze,4
20,Singapore,Gold,3
20,Singapore,Silver,6
20,Singapore,Bronze,7
21,Vietnam,Gold,3
21,Vietnam,Silver,5
21,Vietnam,Bronze,19
22,Mongolia,Gold,3
22,Mongolia,Silver,5
22,Mongolia,Bronze,13
23,Kuwait,Gold,3
23,Kuwait,Silver,4
23,Kuwait,Bronze,4
24,Tajikistan,Gold,2
24,Tajikistan,Silver,1
24,Tajikistan,Bronze,4
25,Macau,Gold,1
25,Macau,Silver,3
25,Macau,Bronze,2
26,Sri Lanka,Gold,1
26,Sri Lanka,Silver,2
26,Sri Lanka,Bronze,2
27,Myanmar,Gold,1
27,Myanmar,Silver,0
27,Myanmar,Bronze,2
28,Jordan,Gold,0
28,Jordan,Silver,5
28,Jordan,Bronze,4
29,Turkmenistan,Gold,0
29,Turkmenistan,Silver,1
29,Turkmenistan,Bronze,6
30,Afghanistan,Gold,0
30,Afghanistan,Silver,1
30,Afghanistan,Bronze,4
31,Pakistan,Gold,0
31,Pakistan,Silver,1
31,Pakistan,Bronze,2
32,Brunei,Gold,0
32,Brunei,Silver,1
32,Brunei,Bronze,1
32,Nepal,Gold,0
32,Nepal,Silver,1
32,Nepal,Bronze,1
32,Oman,Gold,0
32,Oman,Silver,1
32,Oman,Bronze,1
35,Iraq,Gold,0
35,Iraq,Silver,0
35,Iraq,Bronze,3
35,Laos,Gold,0
35,Laos,Silver,0
35,Laos,Bronze,3
37,Bangladesh,Gold,0
37,Bangladesh,Silver,0
37,Bangladesh,Bronze,2
38,Cambodia,Gold,0
38,Cambodia,Silver,0
38,Cambodia,Bronze,1
38,Lebanon,Gold,0
38,Lebanon,Silver,0
38,Lebanon,Bronze,1
38,Palestine,Gold,0
38,Palestine,Silver,0
38,Palestine,Bronze,1
38,Syria,Gold,0
38,Syria,Silver,0
38,Syria,Bronze,1
